,isIP,is@,isRedirect,haveDash,SubDomain,LongURL,TinyURL,Label
139,0,0,0,0,1,0,0,0
140,0,0,0,0,0,0,0,0
141,0,0,0,0,1,0,0,1
142,0,0,0,0,1,1,0,1
143,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,1
145,0,0,0,0,1,0,0,1
146,0,0,0,0,0,0,0,0
147,0,0,0,0,0,1,0,0
148,0,0,0,0,1,0,0,0
149,0,0,0,0,0,0,0,1
150,0,0,0,0,0,0,0,0
151,0,0,0,0,1,0,0,0
152,0,0,0,1,1,1,0,1
153,0,0,0,0,1,1,0,1
154,0,0,0,0,0,0,0,0
155,0,0,0,0,1,1,0,0
156,0,0,0,0,1,0,0,0
157,0,0,0,0,0,1,0,1
158,0,0,0,1,0,0,0,0
159,0,0,0,0,1,0,0,1
160,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,1
162,0,0,0,0,0,0,0,0
163,0,0,0,0,1,0,0,0
164,0,0,0,0,1,0,0,0
165,0,0,0,1,1,1,0,1
166,0,0,0,0,0,0,0,0
167,0,0,0,0,1,1,0,1
168,0,0,0,0,0,0,0,0
169,0,0,0,0,1,0,0,0
170,0,0,0,0,1,0,0,0
171,0,0,0,0,1,0,0,1
172,0,0,0,0,1,0,0,0
173,0,0,0,0,1,0,0,0
174,0,0,0,0,1,0,0,0
175,0,0,0,0,1,1,0,1
176,0,0,0,0,0,0,0,0
177,0,0,0,0,1,0,0,0
178,0,0,0,0,1,1,0,1
179,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0
181,0,0,0,1,1,0,0,1
182,0,0,0,0,0,0,0,0
183,0,0,0,0,0,1,0,1
184,0,0,0,0,1,0,0,0
185,0,0,0,1,0,0,1,1
186,0,0,0,1,1,1,0,1
187,0,0,0,0,0,0,0,0
188,0,0,0,1,1,1,1,1
189,0,0,0,0,0,1,0,1
190,0,0,0,0,0,0,0,0
191,0,0,0,0,1,0,0,0
192,0,0,0,0,1,1,0,1
193,0,0,0,1,0,0,0,1
194,0,0,0,0,0,0,0,1
195,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0
199,0,0,0,0,1,0,0,0
200,0,1,0,0,0,1,0,1
